# Ib surucusu v2 — F(t)/maksF; normalizasyon tabani BAYRAKSIZ bolgeden (dongu %3.5+; kopru penceresi %0-3.4 katı-ayak/kopru artefakt bayragi tasir ve 1.0 asabilir); kuvvet = Fmax·a·fL·fV·cos(alfa); a: stance u_stance_v4 + salinim u_swing_v2; pps kazanci Faz 4 parametresi
gait_pct,BFa_Ib,BFp_Ib,CF_Ib,STp_Ib,STa_Ib,SM_Ib,QF_Ib,TFL_Ib,GMa_Ib,GMe_Ib,GMi_Ib,Pir_Ib,GP_Ib,GA_Ib,AL_Ib,AM_Ib,AB_Ib,Pec_Ib,IP_Ib,OE_Ib,OI_Ib,GS_Ib,GI_Ib,RF_Ib,VL_Ib,VI_Ib,VM_Ib,MG_Ib,LG_Ib,Pla_Ib,Sol_Ib,TA_Ib,EDL_Ib,TP_Ib,FDL_Ib,FHL_Ib,Per_Ib,Pop_Ib
0.0,0.00000,0.09862,0.00000,0.00000,0.32475,0.40079,0.43792,0.00000,0.00000,0.00000,0.00000,0.09072,0.00000,0.00000,0.00000,0.54014,0.58075,0.00000,0.00000,1.00559,0.42512,0.20950,0.55936,0.33413,0.27893,0.27471,0.27903,1.80762,1.29044,3.44498,0.43238,1.83011,0.00000,0.46900,0.00000,0.51951,0.00000,0.00000
0.5,0.00000,0.17380,0.00000,0.00000,0.41908,0.46729,0.50754,0.00000,0.00000,0.00000,0.00000,0.12371,0.00000,0.00000,0.00000,0.58585,0.60896,0.00000,0.00000,1.06764,0.49654,0.25259,0.64578,0.39447,0.33137,0.32822,0.33212,1.84841,1.39097,3.56776,0.49541,1.95180,0.00000,0.54847,0.00000,0.61382,0.00000,0.00000
1.0,0.00000,0.21134,0.00000,0.00000,0.40909,0.46094,0.48744,0.00000,0.00000,0.00000,0.00000,0.11555,0.00000,0.00000,0.00000,0.62494,0.66511,0.00000,0.00000,1.10074,0.46378,0.24529,0.59669,0.38548,0.33520,0.33362,0.33653,1.50444,1.27001,3.05156,0.49930,1.74505,0.00000,0.59283,0.00000,0.65875,0.00000,0.00000
1.5,0.00000,0.20509,0.00000,0.00000,0.34777,0.41436,0.42628,0.00000,0.00000,0.00000,0.00000,0.08742,0.00000,0.00000,0.00000,0.62524,0.69345,0.00000,0.00000,1.10560,0.39021,0.21329,0.49825,0.33888,0.30670,0.30552,0.30803,1.08283,1.04449,2.32990,0.47598,1.41056,0.00000,0.60289,0.00000,0.67014,0.00000,0.00000
2.0,0.03313,0.34222,0.00000,0.00000,0.51740,0.49314,0.52554,0.00000,0.00000,0.00000,0.00000,0.21723,0.00000,0.00000,0.00000,0.47810,0.40224,0.00000,0.00000,0.69557,0.52131,0.31116,0.63783,0.45323,0.39285,0.39185,0.39528,0.95373,1.08527,2.13261,0.57892,1.39966,0.00000,0.72974,0.00000,0.82194,0.00000,0.00000
2.5,0.04372,0.38360,0.00000,0.00000,0.53612,0.51155,0.53810,0.00000,0.00000,0.00000,0.00000,0.23336,0.00000,0.00000,0.00000,0.48298,0.40934,0.00000,0.00000,0.72093,0.52858,0.32974,0.63637,0.47009,0.41434,0.41297,0.41692,0.74512,1.01758,1.79321,0.59730,1.28490,0.00000,0.76348,0.00000,0.84861,0.00000,0.00000
3.0,0.16860,0.54934,0.00000,0.00000,0.72928,0.62437,0.67121,0.00000,0.11616,0.00000,0.00000,0.39963,0.00000,0.00000,0.00000,0.32084,0.09919,0.00000,0.00000,0.28633,0.69241,0.46219,0.80709,0.62282,0.53256,0.53089,0.53638,0.56616,1.02688,1.43396,0.69449,1.20767,0.00000,0.84195,0.00000,0.95714,0.00000,0.00000
3.5,0.15839,0.49506,0.00000,0.00000,0.63709,0.57127,0.60650,0.00000,0.06187,0.00000,0.00000,0.37392,0.00000,0.00000,0.00000,0.31587,0.12726,0.00000,0.00000,0.26740,0.61605,0.42908,0.70796,0.57452,0.50066,0.49852,0.50399,0.33520,0.86366,1.00000,0.63037,1.00000,0.00000,0.76515,0.00000,0.85562,0.00000,0.00000
4.0,0.25580,0.60319,0.00000,0.00000,0.74399,0.65081,0.69941,0.00000,0.30074,0.00000,0.00000,0.46598,0.00000,0.00000,0.00000,0.20061,0.00000,0.00000,0.00000,0.22949,0.71977,0.52351,0.80979,0.68776,0.59236,0.58960,0.59631,0.12189,0.78702,0.50561,0.67289,0.83787,0.00000,0.75333,0.00000,0.87320,0.00000,0.00000
4.5,0.26471,0.58834,0.00000,0.00000,0.70442,0.63534,0.67397,0.00000,0.28062,0.00000,0.00000,0.46760,0.00000,0.00000,0.00000,0.19873,0.00001,0.00000,0.00000,0.20928,0.68608,0.51958,0.76089,0.67122,0.58778,0.58465,0.59139,0.06475,0.76812,0.42725,0.66731,0.79552,0.00000,0.75652,0.00000,0.85116,0.00000,0.00000
5.0,0.39344,0.74624,0.00000,0.00000,0.85622,0.75235,0.79784,0.00000,0.55551,0.00000,0.00000,0.58911,0.00000,0.00000,0.00000,0.07968,0.00000,0.00000,0.00000,0.18385,0.81950,0.64533,0.89195,0.80379,0.70123,0.69747,0.70546,0.00000,0.82184,0.24312,0.76456,0.77534,0.00000,0.82619,0.00000,0.93970,0.00000,0.00000
