# u(t) swing v2 — faz1a + smooth .mot; ID(15Hz, kas haric) + SO(min Σa², rijit tendon, fV(vm) Thelen a=1 kapali-form, 7 DOF kisit, rezerv W=1e6; max|rezerv| 0.013 N·mm)
gait_pct,BFa,BFp,CF,STp,STa,SM,QF,TFL,GMa,GMe,GMi,Pir,GP,GA,AL,AM,AB,Pec,IP,OE,OI,GS,GI,RF,VL,VI,VM,MG,LG,Pla,Sol,TA,EDL,TP,FDL,FHL,Per,Pop
65.0,0.00369,0.01281,0.00000,0.00468,0.00000,0.00000,0.00000,0.00870,0.03271,0.00649,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07245,0.02162,0.00104,0.00000,0.00000,0.04312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00290,0.00000,0.01242,0.00176,0.00000,0.00431,0.00000,0.00321,0.00538
65.5,0.00550,0.01225,0.00000,0.00505,0.00000,0.00000,0.00000,0.00856,0.03290,0.00677,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07340,0.02228,0.00058,0.00000,0.00000,0.04341,0.00000,0.00000,0.00000,0.00000,0.00000,0.00266,0.00000,0.01248,0.00188,0.00000,0.00411,0.00000,0.00345,0.00556
66.0,0.00744,0.01169,0.00000,0.00545,0.00000,0.00000,0.00000,0.00842,0.03308,0.00704,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07427,0.02294,0.00011,0.00000,0.00000,0.04358,0.00000,0.00000,0.00000,0.00000,0.00000,0.00244,0.00000,0.01253,0.00197,0.00000,0.00392,0.00000,0.00355,0.00575
66.5,0.00939,0.01113,0.00000,0.00591,0.00000,0.00000,0.00000,0.00828,0.03321,0.00729,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07514,0.02363,0.00000,0.00000,0.00000,0.04361,0.00000,0.00000,0.00000,0.00000,0.00000,0.00226,0.00000,0.01256,0.00206,0.00000,0.00380,0.00000,0.00361,0.00595
67.0,0.01146,0.01057,0.00000,0.00641,0.00000,0.00000,0.00000,0.00814,0.03335,0.00753,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07583,0.02428,0.00000,0.00000,0.00000,0.04354,0.00000,0.00000,0.00000,0.00000,0.00000,0.00217,0.00000,0.01251,0.00215,0.00000,0.00380,0.00000,0.00371,0.00616
67.5,0.01367,0.01000,0.00000,0.00708,0.00000,0.00000,0.00000,0.00798,0.03358,0.00775,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07630,0.02491,0.00000,0.00000,0.00000,0.04346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00208,0.00000,0.01246,0.00223,0.00000,0.00381,0.00000,0.00379,0.00638
68.0,0.01596,0.00941,0.00000,0.00778,0.00000,0.00000,0.00000,0.00783,0.03370,0.00802,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07668,0.02549,0.00000,0.00000,0.00000,0.04313,0.00000,0.00000,0.00000,0.00000,0.00000,0.00202,0.00000,0.01240,0.00230,0.00000,0.00383,0.00000,0.00386,0.00660
68.5,0.01834,0.00883,0.00000,0.00844,0.00000,0.00000,0.00000,0.00767,0.03384,0.00827,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07691,0.02604,0.00000,0.00000,0.00000,0.04272,0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.01235,0.00238,0.00000,0.00387,0.00000,0.00392,0.00683
69.0,0.02080,0.00828,0.00000,0.00896,0.00000,0.00000,0.00000,0.00752,0.03400,0.00853,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07701,0.02655,0.00000,0.00000,0.00000,0.04223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00192,0.00000,0.01231,0.00245,0.00000,0.00393,0.00000,0.00395,0.00708
69.5,0.02322,0.00777,0.00000,0.00944,0.00000,0.00000,0.00000,0.00736,0.03414,0.00881,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07693,0.02698,0.00000,0.00000,0.00000,0.04157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00190,0.00000,0.01230,0.00252,0.00000,0.00390,0.00000,0.00396,0.00733
