# r(t) tam dongu v3 — Ia: Kademe-2 K-modeli (Blum 2020 egri fiti, 47_ B26; b=10.4 kL=26.6 kV=27.1 p=0.53; d=lif boyu - dongu min [mm], v=lif hizi [mm/s], yalniz uzama hizi); II: Vincent v2 formulu ayni d/v sozlesmesiyle; BAYRAKLAR: fusimotor yok, surekli-hareket sonumu (genlikler ust sinir), II paketten dogrulanamadi, GI/GP/TFL guvensiz
gait_pct,BFa_Ia,BFp_Ia,CF_Ia,STp_Ia,STa_Ia,SM_Ia,QF_Ia,TFL_Ia,GMa_Ia,GMe_Ia,GMi_Ia,Pir_Ia,GP_Ia,GA_Ia,AL_Ia,AM_Ia,AB_Ia,Pec_Ia,IP_Ia,OE_Ia,OI_Ia,GS_Ia,GI_Ia,RF_Ia,VL_Ia,VI_Ia,VM_Ia,MG_Ia,LG_Ia,Pla_Ia,Sol_Ia,TA_Ia,EDL_Ia,TP_Ia,FDL_Ia,FHL_Ia,Per_Ia,Pop_Ia,BFa_II,BFp_II,CF_II,STp_II,STa_II,SM_II,QF_II,TFL_II,GMa_II,GMe_II,GMi_II,Pir_II,GP_II,GA_II,AL_II,AM_II,AB_II,Pec_II,IP_II,OE_II,OI_II,GS_II,GI_II,RF_II,VL_II,VI_II,VM_II,MG_II,LG_II,Pla_II,Sol_II,TA_II,EDL_II,TP_II,FDL_II,FHL_II,Per_II,Pop_II
0.0,101.557,368.363,197.082,306.851,430.357,305.084,119.733,96.055,105.741,64.077,19.443,33.604,455.694,281.179,153.358,202.867,210.128,32.522,78.301,11.755,46.780,30.827,75.563,64.465,54.525,54.570,52.182,49.699,46.925,55.112,28.071,90.186,81.103,17.691,19.499,20.027,80.826,34.022,48.517,254.185,80.580,212.949,291.423,210.304,94.914,46.475,50.038,33.766,9.224,23.347,307.504,205.125,118.915,149.222,152.026,42.466,39.636,17.606,48.379,27.151,66.879,33.849,29.507,29.528,28.442,58.801,56.719,62.786,39.733,49.057,44.663,26.016,28.109,28.856,44.374,34.034
0.5,104.299,367.431,199.408,306.222,429.260,304.510,119.515,98.765,108.708,65.669,19.442,33.597,454.481,280.321,153.027,202.454,209.744,32.382,80.378,11.728,46.661,30.803,75.408,69.084,60.015,60.067,57.376,49.447,46.685,54.841,27.935,83.409,74.665,17.634,19.433,19.958,74.897,33.970,49.584,256.664,81.692,215.998,293.880,211.581,95.440,47.537,51.180,34.461,9.462,23.608,309.496,207.105,119.479,149.807,152.610,42.916,40.492,17.857,48.822,27.445,67.361,35.795,31.947,31.969,30.789,58.143,55.897,62.420,36.216,45.870,41.405,23.464,25.428,26.120,41.455,35.718
1.0,109.238,366.228,202.787,305.350,427.856,303.832,119.276,103.717,114.068,68.635,19.441,33.588,452.986,279.254,152.663,201.999,209.320,32.227,84.213,11.698,46.531,30.777,75.237,77.267,69.396,69.457,66.253,49.215,46.469,54.578,27.876,63.824,52.147,17.610,19.405,19.928,57.799,33.894,51.424,261.228,83.110,221.259,298.477,214.136,96.559,49.402,53.153,35.723,9.921,24.126,313.429,210.880,120.720,151.125,153.915,43.848,42.023,18.349,49.732,28.027,68.364,39.122,35.925,35.950,34.619,56.940,54.339,61.826,24.790,35.142,26.760,15.110,16.653,17.171,31.662,38.478
1.5,114.097,364.764,209.125,304.245,426.156,303.051,119.013,108.656,119.381,71.570,19.440,33.578,451.216,277.984,152.265,201.500,208.855,32.058,88.024,11.666,46.388,30.748,75.050,84.490,77.295,77.364,73.725,49.003,46.277,54.324,55.325,48.528,47.079,34.869,37.980,39.054,44.455,33.795,53.223,264.858,85.375,225.367,302.119,216.349,97.627,51.245,55.095,36.958,10.388,24.650,316.597,213.953,121.896,152.371,155.152,44.731,43.529,18.807,50.600,28.594,69.322,41.970,39.135,39.162,37.706,55.706,52.719,61.216,30.913,40.905,40.415,19.589,21.359,21.970,36.920,40.655
2.0,118.862,363.049,213.047,302.919,424.171,302.168,118.726,113.572,124.635,74.468,19.439,33.567,449.181,276.519,151.830,200.956,208.349,31.875,91.803,11.632,46.233,30.716,74.847,91.001,84.165,84.242,80.222,48.808,46.109,54.079,70.920,48.452,47.009,44.659,48.507,49.894,44.397,33.672,54.979,267.768,86.985,228.645,305.019,218.274,98.643,53.066,57.006,38.164,10.863,25.181,319.147,216.470,123.005,153.543,156.318,45.564,45.008,19.230,51.426,29.148,70.234,44.481,41.848,41.877,40.313,54.450,51.035,60.600,38.504,47.984,46.150,25.131,27.177,27.905,43.389,42.443
2.5,123.511,361.092,214.565,301.380,421.910,301.186,118.416,118.451,129.811,77.319,19.437,33.554,446.888,274.866,151.360,200.368,207.799,31.678,95.536,11.596,46.065,30.682,74.626,96.959,90.266,90.349,85.989,48.632,45.963,53.843,82.129,48.320,46.893,51.681,56.037,57.649,44.294,33.529,56.688,270.095,87.903,231.283,307.311,219.948,99.604,54.862,58.881,39.339,11.342,25.715,321.176,218.522,124.044,154.636,157.410,46.344,46.458,19.617,52.208,29.686,71.099,46.743,44.209,44.240,42.579,53.181,49.285,59.990,43.418,52.471,50.011,28.703,30.919,31.723,47.505,43.951
3.0,128.020,358.904,216.207,299.638,419.385,300.105,118.081,123.269,134.884,80.107,19.435,33.540,444.346,273.031,150.853,199.733,207.206,31.467,99.208,11.557,45.885,30.644,74.389,102.469,95.762,95.852,91.184,48.472,45.839,53.615,91.171,48.132,46.733,57.329,62.069,63.861,44.149,33.366,58.343,271.932,88.867,233.402,309.089,221.399,100.506,56.628,60.716,40.479,11.826,26.253,322.751,220.177,125.009,155.646,158.424,47.068,47.875,19.965,52.941,30.206,71.912,48.812,46.307,46.340,44.591,51.910,47.468,59.400,47.162,55.794,52.945,31.410,33.744,34.605,50.570,45.242
3.5,132.359,356.493,217.785,297.702,416.607,298.928,117.722,128.003,139.825,82.816,19.433,33.524,441.565,271.023,150.310,199.052,206.570,31.241,102.797,11.516,45.692,30.604,74.135,107.609,100.770,100.866,95.915,48.329,45.735,53.395,98.812,47.894,46.533,62.087,67.120,69.065,43.963,33.183,59.939,273.345,89.799,235.088,310.418,222.645,101.345,58.360,62.503,41.580,12.311,26.790,323.924,221.481,125.893,156.567,159.353,47.732,49.253,20.271,53.623,30.707,72.669,50.728,48.201,48.236,46.406,50.657,45.583,58.843,50.212,58.404,55.292,33.600,36.019,36.927,52.995,46.360
4.0,136.499,353.870,220.761,295.581,413.586,297.657,117.338,132.627,144.604,85.431,19.430,33.506,438.553,268.848,149.731,198.325,205.891,31.003,106.284,11.474,45.487,30.560,73.863,112.433,105.374,105.475,100.263,48.201,45.650,53.183,105.424,47.607,46.295,66.191,71.445,73.520,43.741,32.983,61.467,274.385,91.136,236.403,311.350,223.700,102.116,60.049,64.237,42.637,12.795,27.324,324.732,222.473,126.691,157.393,160.191,48.331,50.588,20.533,54.250,31.187,73.366,52.518,49.934,49.970,48.063,49.442,43.634,58.337,52.787,60.514,57.219,35.434,37.912,38.860,54.975,47.337
4.5,140.415,351.044,223.805,293.282,410.333,296.296,116.931,137.115,149.196,87.936,19.426,33.486,435.322,266.514,149.117,197.554,205.169,30.751,109.649,11.430,45.270,30.514,73.576,116.985,109.639,109.745,104.289,48.085,45.582,52.976,111.223,47.277,46.021,69.776,75.187,77.376,43.483,32.765,62.923,275.090,92.491,237.393,311.924,224.577,102.815,61.691,65.911,43.646,13.275,27.852,325.206,223.180,127.400,158.119,160.935,48.864,51.874,20.749,54.818,31.642,74.001,54.203,51.534,51.573,49.592,48.296,41.629,57.899,55.010,62.242,58.822,37.003,39.518,40.501,56.615,48.195
5.0,144.084,348.025,225.202,290.813,406.859,294.846,116.501,141.444,153.574,90.315,19.422,33.464,431.881,264.030,148.469,196.740,204.406,30.487,112.874,11.384,45.042,30.464,73.272,121.297,113.653,113.725,108.040,47.981,45.529,52.774,116.342,46.906,45.713,72.928,78.441,80.728,43.192,32.532,64.299,275.491,93.395,238.095,312.171,225.283,103.438,63.280,67.518,44.604,13.748,28.371,325.372,223.627,128.016,158.742,161.580,49.327,53.108,20.918,55.326,32.072,74.569,55.800,53.040,53.066,51.015,47.255,39.587,57.546,56.953,63.661,60.162,38.361,40.894,41.907,57.983,48.951
