# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
0,-70,-70,0
0.25,-70.5606,-70.5606,0
0.5,-70.6806,-70.6806,0
0.75,-70.7303,-70.7303,0
1,-70.7479,-70.7479,0
1.25,-70.748,-70.748,0
1.5,-70.7376,-70.7376,0
1.75,-70.7207,-70.7207,0
2,-70.6997,-70.6997,0
2.25,-70.676,-70.676,0
2.5,-70.6505,-70.6505,0
2.75,-70.6238,-70.6238,0
3,-70.5964,-70.5964,0
3.25,-70.5685,-70.5685,0
3.5,-70.5404,-70.5404,0
3.75,-70.5123,-70.5123,0
4,-70.4842,-70.4842,0
4.25,-70.4562,-70.4562,0
4.5,-70.4284,-70.4284,0
4.75,-70.4008,-70.4008,0
5,-70.3734,-70.3734,0
5.25,-70.3463,-70.3463,0
5.5,-70.3195,-70.3195,0
5.75,-70.293,-70.293,0
6,-70.2667,-70.2667,0
6.25,-70.2408,-70.2408,0
6.5,-70.2151,-70.2151,0
6.75,-70.1897,-70.1897,0
7,-70.1646,-70.1646,0
7.25,-70.1398,-70.1398,0
7.5,-70.1153,-70.1153,0
7.75,-70.091,-70.091,0
8,-70.0669,-70.0669,0
8.25,-70.0431,-70.0431,0
8.5,-70.0196,-70.0196,0
8.75,-69.9963,-69.9963,0
9,-69.9732,-69.9732,0
9.25,-69.9504,-69.9504,0
9.5,-69.9277,-69.9277,0
9.75,-69.9053,-69.9053,0
10,-69.883,-69.883,0
10.25,-69.861,-69.861,0
10.5,-69.8391,-69.8391,0
10.75,-69.8174,-69.8174,0
11,-69.7959,-69.7959,0
11.25,-69.7746,-69.7746,0
11.5,-69.7534,-69.7534,0
11.75,-69.7324,-69.7324,0
12,-69.7116,-69.7116,0
12.25,-69.6909,-69.6909,0
12.5,-69.6703,-69.6703,0
12.75,-69.6499,-69.6499,0
13,-69.6296,-69.6296,0
13.25,-69.6094,-69.6094,0
13.5,-69.5894,-69.5894,0
13.75,-69.5695,-69.5695,0
14,-69.5497,-69.5497,0
14.25,-69.5301,-69.5301,0
14.5,-69.5105,-69.5105,0
14.75,-69.4911,-69.4911,0
15,-69.4717,-69.4717,0
15.25,-69.4525,-69.4525,0
15.5,-69.4334,-69.4334,0
15.75,-69.4144,-69.4144,0
16,-69.3954,-69.3954,0
16.25,-69.3766,-69.3766,0
16.5,-69.3579,-69.3579,0
16.75,-69.3392,-69.3392,0
17,-69.3207,-69.3207,0
17.25,-69.3022,-69.3022,0
