# OpenSim computeMomentArm, model/rat_hindlimb_faz1a.osim, poz cl_grid3d FIX (kalca 39.94 derece); panel b sarma kumesi bosaltilarak olculdu
# dogrulama_momentkolu.png kaynak verisi
panel,x_derece,kas,r_mm
a_diz_suprusu,-155.000,RF,4.6704
a_diz_suprusu,-155.000,VL,4.9111
a_diz_suprusu,-155.000,VI,4.8676
a_diz_suprusu,-155.000,VM,4.7195
a_diz_suprusu,-155.000,SM,-7.7452
a_diz_suprusu,-155.000,STa,-16.8195
a_diz_suprusu,-155.000,STp,-17.6537
a_diz_suprusu,-155.000,BFp,-14.9412
a_diz_suprusu,-155.000,GP,-13.8559
a_diz_suprusu,-155.000,GA,-11.9397
a_diz_suprusu,-155.000,Pla,-0.1012
a_diz_suprusu,-155.000,MG,0.5348
a_diz_suprusu,-155.000,LG,0.9446
a_diz_suprusu,-155.000,Pop,1.8236
a_diz_suprusu,-153.898,RF,4.1891
a_diz_suprusu,-153.898,VL,4.4197
a_diz_suprusu,-153.898,VI,4.3776
a_diz_suprusu,-153.898,VM,4.2354
a_diz_suprusu,-153.898,SM,-7.1091
a_diz_suprusu,-153.898,STa,-16.3343
a_diz_suprusu,-153.898,STp,-17.2918
a_diz_suprusu,-153.898,BFp,-14.6243
a_diz_suprusu,-153.898,GP,-13.3809
a_diz_suprusu,-153.898,GA,-11.4528
a_diz_suprusu,-153.898,Pla,-0.8608
a_diz_suprusu,-153.898,MG,-0.2135
a_diz_suprusu,-153.898,LG,0.1960
a_diz_suprusu,-153.898,Pop,1.1132
a_diz_suprusu,-152.797,RF,3.7212
a_diz_suprusu,-152.797,VL,3.9416
a_diz_suprusu,-152.797,VI,3.9013
a_diz_suprusu,-152.797,VM,3.7649
a_diz_suprusu,-152.797,SM,-6.4770
a_diz_suprusu,-152.797,STa,-15.9494
a_diz_suprusu,-152.797,STp,-16.9363
a_diz_suprusu,-152.797,BFp,-14.3037
a_diz_suprusu,-152.797,GP,-12.9094
a_diz_suprusu,-152.797,GA,-10.9718
a_diz_suprusu,-152.797,Pla,-1.6224
a_diz_suprusu,-152.797,MG,-0.9645
a_diz_suprusu,-152.797,LG,-0.5558
a_diz_suprusu,-152.797,Pop,0.4002
a_diz_suprusu,-151.695,RF,3.2649
a_diz_suprusu,-151.695,VL,3.4753
a_diz_suprusu,-151.695,VI,3.4367
a_diz_suprusu,-151.695,VM,3.3060
a_diz_suprusu,-151.695,SM,-5.8492
a_diz_suprusu,-151.695,STa,-15.5705
a_diz_suprusu,-151.695,STp,-16.5874
a_diz_suprusu,-151.695,BFp,-13.9842
a_diz_suprusu,-151.695,GP,-12.4419
a_diz_suprusu,-151.695,GA,-10.4972
a_diz_suprusu,-151.695,Pla,-2.3850
a_diz_suprusu,-151.695,MG,-1.7174
a_diz_suprusu,-151.695,LG,-1.3098
a_diz_suprusu,-151.695,Pop,-0.3148
a_diz_suprusu,-150.593,RF,2.8179
a_diz_suprusu,-150.593,VL,3.0193
a_diz_suprusu,-150.593,VI,2.9817
a_diz_suprusu,-150.593,VM,2.8566
a_diz_suprusu,-150.593,SM,-5.2260
a_diz_suprusu,-150.593,STa,-15.1978
a_diz_suprusu,-150.593,STp,-16.2455
a_diz_suprusu,-150.593,BFp,-13.6608
a_diz_suprusu,-150.593,GP,-11.9786
a_diz_suprusu,-150.593,GA,-10.0297
a_diz_suprusu,-150.593,Pla,-3.1478
a_diz_suprusu,-150.593,MG,-2.4713
a_diz_suprusu,-150.593,LG,-2.0653
a_diz_suprusu,-150.593,Pop,-1.0317
a_diz_suprusu,-149.492,RF,2.6108
a_diz_suprusu,-149.492,VL,2.7989
a_diz_suprusu,-149.492,VI,2.7639
a_diz_suprusu,-149.492,VM,2.6466
a_diz_suprusu,-149.492,SM,-4.8836
a_diz_suprusu,-149.492,STa,-15.0506
a_diz_suprusu,-149.492,STp,-16.0766
a_diz_suprusu,-149.492,BFp,-12.9498
a_diz_suprusu,-149.492,GP,-11.7724
a_diz_suprusu,-149.492,GA,-9.7885
a_diz_suprusu,-149.492,Pla,-3.5712
a_diz_suprusu,-149.492,MG,-2.8884
a_diz_suprusu,-149.492,LG,-2.4833
a_diz_suprusu,-149.492,Pop,-1.4301
a_diz_suprusu,-148.390,RF,2.6751
a_diz_suprusu,-148.390,VL,2.8462
a_diz_suprusu,-148.390,VI,2.8146
a_diz_suprusu,-148.390,VM,2.7076
a_diz_suprusu,-148.390,SM,-4.8624
a_diz_suprusu,-148.390,STa,-15.1544
a_diz_suprusu,-148.390,STp,-16.0989
