# kaynak veri/u_swing_v2.csv; grup tepe zamanlari: kalca fleksor %68.5 (toplam 7.851) | diz ekstansor %66.5 (toplam 1.431) | diz fleksor %76.0 (toplam 0.502) | kalca ekstansor %65.0 (toplam 0.883) | bilek dorsifleksor %85.5 (toplam 1.197) | bilek plantarfleksor %87.0 (toplam 1.444)
# dogrulama_salinim.png kaynak verisi
gait_pct,a_BFp,a_TFL,a_RF,a_IP,a_GMe,a_OE,a_Pop,a_STp,a_BFa,a_GMa,a_TA,a_FDL,a_CF,grup_kalca_fleksor,grup_diz_ekstansor,grup_diz_fleksor,grup_kalca_ekstansor,grup_bilek_dorsifleksor,grup_bilek_plantarfleksor
65,0.01281,0.0087,0.04312,0.07245,0.00649,0.02162,0.00538,0.00468,0.00369,0.03271,0.01242,0.00431,0,0.16347,0.04312,0.00828,0.01749,0.01739,0.00721
65.5,0.01225,0.00856,0.04341,0.0734,0.00677,0.02228,0.00556,0.00505,0.0055,0.0329,0.01248,0.00411,0,0.16504,0.04341,0.00822,0.0173,0.01781,0.00677
66,0.01169,0.00842,0.04358,0.07427,0.00704,0.02294,0.00575,0.00545,0.00744,0.03308,0.01253,0.00392,0,0.16639,0.04358,0.00819,0.01714,0.01805,0.00636
66.5,0.01113,0.00828,0.04361,0.07514,0.00729,0.02363,0.00595,0.00591,0.00939,0.03321,0.01256,0.0038,0,0.16753,0.04361,0.00821,0.01704,0.01823,0.00606
67,0.01057,0.00814,0.04354,0.07583,0.00753,0.02428,0.00616,0.00641,0.01146,0.03335,0.01251,0.0038,0,0.16839,0.04354,0.00833,0.01698,0.01837,0.00597
67.5,0.01,0.00798,0.04346,0.0763,0.00775,0.02491,0.00638,0.00708,0.01367,0.03358,0.01246,0.00381,0,0.16907,0.04346,0.00846,0.01708,0.01848,0.00589
68,0.00941,0.00783,0.04313,0.07668,0.00802,0.02549,0.0066,0.00778,0.01596,0.0337,0.0124,0.00383,0,0.16936,0.04313,0.00862,0.01719,0.01856,0.00585
68.5,0.00883,0.00767,0.04272,0.07691,0.00827,0.02604,0.00683,0.00844,0.01834,0.03384,0.01235,0.00387,0,0.16941,0.04272,0.00879,0.01727,0.01865,0.00583
69,0.00828,0.00752,0.04223,0.07701,0.00853,0.02655,0.00708,0.00896,0.0208,0.034,0.01231,0.00393,0,0.16929,0.04223,0.009,0.01724,0.01871,0.00585
69.5,0.00777,0.00736,0.04157,0.07693,0.00881,0.02698,0.00733,0.00944,0.02322,0.03414,0.0123,0.0039,0,0.16881,0.04157,0.00923,0.01721,0.01878,0.0058
