# t_s,f_TA_Hz,u_TA,akt_TA,Fkas_TA_N,f_Sol_Hz,u_Sol,akt_Sol,Fkas_Sol_N,f_IP_Hz,u_IP,akt_IP,Fkas_IP_N,f_VL_Hz,u_VL,akt_VL,Fkas_VL_N,hip_flx_derece,knee_flx_derece,ankle_flx_derece
0.000150,0.000000,0.000000,0.049914,0.388925,0.000000,0.000000,0.049914,0.065819,0.000000,0.000000,0.049914,0.635194,0.000000,0.000000,0.049914,0.635896,37.200327,-123.701329,13.976773
0.000300,0.000000,0.000000,0.049828,0.401594,0.000000,0.000000,0.049828,0.063105,0.000000,0.000000,0.049828,0.634905,0.000000,0.000000,0.049828,0.637157,37.201277,-123.705316,13.908206
0.000450,0.000000,0.000000,0.049742,0.422599,0.000000,0.000000,0.049742,0.058925,0.000000,0.000000,0.049742,0.634454,0.000000,0.000000,0.049742,0.639258,37.202767,-123.711965,13.797547
0.000600,0.000000,0.000000,0.049656,0.451671,0.000000,0.000000,0.049656,0.053699,0.000000,0.000000,0.049656,0.633880,0.000000,0.000000,0.049656,0.642200,37.204660,-123.721283,13.649949
0.000750,0.000000,0.000000,0.049571,0.488017,0.000000,0.000000,0.049571,0.047891,0.000000,0.000000,0.049571,0.633236,0.000000,0.000000,0.049571,0.645986,37.206785,-123.733278,13.472115
0.000900,0.000000,0.000000,0.049486,0.527991,0.000000,0.000000,0.049486,0.041934,0.000000,0.000000,0.049486,0.632581,0.000000,0.000000,0.049486,0.650621,37.208942,-123.747957,13.271867
0.001050,0.000000,0.000000,0.049400,0.565293,0.000000,0.000000,0.049400,0.036184,0.000000,0.000000,0.049400,0.631979,0.000000,0.000000,0.049400,0.656107,37.210919,-123.765311,13.057555
0.001200,0.000000,0.000000,0.049315,0.597685,0.000000,0.000000,0.049315,0.030893,0.000000,0.000000,0.049315,0.631488,0.000000,0.000000,0.049315,0.662436,37.212514,-123.785304,12.837436
0.001350,0.000000,0.000000,0.049231,0.623651,0.000000,0.000000,0.049231,0.026212,0.000000,0.000000,0.049231,0.631164,0.000000,0.000000,0.049231,0.669587,37.213538,-123.807856,12.619194
0.001500,0.000000,0.000000,0.049146,0.642294,0.000000,0.000000,0.049146,0.022209,0.000000,0.000000,0.049146,0.631053,0.000000,0.000000,0.049146,0.677520,37.213829,-123.832842,12.409615
0.001650,0.000000,0.000000,0.049061,0.653363,0.000000,0.000000,0.049061,0.018896,0.000000,0.000000,0.049061,0.631195,0.000000,0.000000,0.049061,0.686179,37.213257,-123.860086,12.214400
0.001800,0.000000,0.000000,0.048977,0.657174,0.000000,0.000000,0.048977,0.016245,0.000000,0.000000,0.048977,0.631616,0.000000,0.000000,0.048977,0.695486,37.211722,-123.889371,12.038074
0.001950,0.000000,0.000000,0.048893,0.654463,0.000000,0.000000,0.048893,0.014210,0.000000,0.000000,0.048893,0.632336,0.000000,0.000000,0.048893,0.705345,37.209158,-123.920438,11.883986
0.002100,0.000000,0.000000,0.048809,0.646217,0.000000,0.000000,0.048809,0.012739,0.000000,0.000000,0.048809,0.633365,0.000000,0.000000,0.048809,0.715637,37.205530,-123.952998,11.754363
0.002250,0.000000,0.000000,0.048725,0.633534,0.000000,0.000000,0.048725,0.011776,0.000000,0.000000,0.048725,0.634704,0.000000,0.000000,0.048725,0.726226,37.200831,-123.986737,11.650405
0.002400,0.000000,0.000000,0.048641,0.617513,0.000000,0.000000,0.048641,0.011274,0.000000,0.000000,0.048641,0.636347,0.000000,0.000000,0.048641,0.736954,37.195078,-124.021331,11.572408
0.002550,0.000000,0.000000,0.048558,0.599174,0.000000,0.000000,0.048558,0.011187,0.000000,0.000000,0.048558,0.638284,0.000000,0.000000,0.048558,0.747647,37.188313,-124.056450,11.519889
0.002700,0.000000,0.000000,0.048474,0.579430,0.000000,0.000000,0.048474,0.011481,0.000000,0.000000,0.048474,0.640496,0.000000,0.000000,0.048474,0.758108,37.180592,-124.091768,11.491712
0.002850,0.000000,0.000000,0.048391,0.559059,0.000000,0.000000,0.048391,0.012121,0.000000,0.000000,0.048391,0.642962,0.000000,0.000000,0.048391,0.768124,37.171988,-124.126967,11.486207
0.003000,0.000000,0.000000,0.048308,0.538715,0.000000,0.000000,0.048308,0.013081,0.000000,0.000000,0.048308,0.645658,0.000000,0.000000,0.048308,0.777463,37.162585,-124.161746,11.501281
0.003150,0.000000,0.000000,0.048225,0.518926,0.000000,0.000000,0.048225,0.014333,0.000000,0.000000,0.048225,0.648555,0.000000,0.000000,0.048225,0.785881,37.152476,-124.195822,11.534509
0.003300,0.000000,0.000000,0.048143,0.500120,0.000000,0.000000,0.048143,0.015853,0.000000,0.000000,0.048143,0.651623,0.000000,0.000000,0.048143,0.793138,37.141762,-124.228935,11.583230
0.003450,0.000000,0.000000,0.048060,0.482524,0.000000,0.000000,0.048060,0.017611,0.000000,0.000000,0.048060,0.654830,0.000000,0.000000,0.048060,0.799022,37.130547,-124.260851,11.644615
0.003600,0.000000,0.000000,0.047978,0.465217,0.000000,0.000000,0.047978,0.019575,0.000000,0.000000,0.047978,0.658143,0.000000,0.000000,0.047978,0.803391,37.118936,-124.291362,11.715735
0.003750,0.000000,0.000000,0.047895,0.447842,0.000000,0.000000,0.047895,0.021707,0.000000,0.000000,0.047895,0.661528,0.000000,0.000000,0.047895,0.806210,37.107037,-124.320285,11.793573
0.003900,0.000000,0.000000,0.047813,0.430693,0.000000,0.000000,0.047813,0.023958,0.000000,0.000000,0.047813,0.664953,0.000000,0.000000,0.047813,0.807571,37.094956,-124.347458,11.875056
0.004050,0.000000,0.000000,0.047731,0.414209,0.000000,0.000000,0.047731,0.026271,0.000000,0.000000,0.047731,0.668382,0.000000,0.000000,0.047731,0.807669,37.082797,-124.372748,11.957122
0.004200,0.000000,0.000000,0.047650,0.398830,0.000000,0.000000,0.047650,0.028580,0.000000,0.000000,0.047650,0.671785,0.000000,0.000000,0.047650,0.806746,37.070658,-124.396044,12.036786
0.004350,0.000000,0.000000,0.047568,0.384951,0.000000,0.000000,0.047568,0.030811,0.000000,0.000000,0.047568,0.675130,0.000000,0.000000,0.047568,0.805020,37.058633,-124.417262,12.111214
0.004500,0.000000,0.000000,0.047486,0.372908,0.000000,0.000000,0.047486,0.032886,0.000000,0.000000,0.047486,0.678389,0.000000,0.000000,0.047486,0.802668,37.046804,-124.436345,12.177795
0.004650,0.000000,0.000000,0.047405,0.362970,0.000000,0.000000,0.047405,0.034728,0.000000,0.000000,0.047405,0.681536,0.000000,0.000000,0.047405,0.799831,37.035245,-124.453262,12.234215
0.004800,0.000000,0.000000,0.047324,0.355368,0.000000,0.000000,0.047324,0.036265,0.000000,0.000000,0.047324,0.684551,0.000000,0.000000,0.047324,0.796601,37.024018,-124.468011,12.278529
0.004950,0.000000,0.000000,0.047243,0.350248,0.000000,0.000000,0.047243,0.037435,0.000000,0.000000,0.047243,0.687416,0.000000,0.000000,0.047243,0.793046,37.013170,-124.480618,12.309223
0.005100,0.000000,0.000000,0.047162,0.347685,0.000000,0.000000,0.047162,0.038196,0.000000,0.000000,0.047162,0.690117,0.000000,0.000000,0.047162,0.789212,37.002736,-124.491140,12.325260
0.005250,0.000000,0.000000,0.047082,0.347701,0.000000,0.000000,0.047082,0.038525,0.000000,0.000000,0.047082,0.692648,0.000000,0.000000,0.047082,0.785139,36.992734,-124.499663,12.326114
0.005400,0.000000,0.000000,0.047001,0.350268,0.000000,0.000000,0.047001,0.038424,0.000000,0.000000,0.047001,0.695005,0.000000,0.000000,0.047001,0.780862,36.983168,-124.506299,12.311785
0.005550,0.000000,0.000000,0.046921,0.355313,0.000000,0.000000,0.046921,0.037916,0.000000,0.000000,0.046921,0.697189,0.000000,0.000000,0.046921,0.776418,36.974028,-124.511192,12.282789
0.005700,0.000000,0.000000,0.046840,0.362712,0.000000,0.000000,0.046840,0.037046,0.000000,0.000000,0.046840,0.699209,0.000000,0.000000,0.046840,0.771845,36.965290,-124.514509,12.240143
0.005850,0.000000,0.000000,0.046760,0.372315,0.000000,0.000000,0.046760,0.035876,0.000000,0.000000,0.046760,0.701072,0.000000,0.000000,0.046760,0.767186,36.956918,-124.516440,12.185316
0.006000,20.000000,0.000000,0.046680,0.383898,0.000000,0.000000,0.046680,0.034479,0.000000,0.000000,0.046680,0.702795,20.000000,0.000000,0.046680,0.762488,36.948866,-124.517198,12.120178
0.006150,19.940000,0.000000,0.046601,0.397148,0.000000,0.000000,0.046601,0.032933,20.000000,0.000000,0.046601,0.704393,19.940000,0.000000,0.046601,0.757802,36.941079,-124.517011,12.046927
0.006300,19.880180,0.000000,0.046521,0.411662,0.000000,0.000000,0.046521,0.031317,19.940000,0.000000,0.046521,0.705886,19.880180,0.000000,0.046521,0.753182,36.933495,-124.516118,11.968002
0.006450,19.820539,0.000000,0.046442,0.426943,0.000000,0.000000,0.046442,0.029705,19.880180,0.000000,0.046442,0.707290,19.820539,0.000000,0.046442,0.748685,36.926058,-124.514767,11.885982
0.006600,19.761078,0.000000,0.046362,0.442375,0.000000,0.000000,0.046362,0.028161,19.820539,0.000000,0.046362,0.708623,19.761078,0.000000,0.046362,0.744368,36.918713,-124.513210,11.803481
0.006750,19.701795,0.000000,0.046283,0.457171,0.000000,0.000000,0.046283,0.026741,19.761078,0.000000,0.046283,0.709905,19.701795,0.000000,0.046283,0.740280,36.911390,-124.511677,11.723085
0.006900,19.642689,0.000000,0.046204,0.470267,0.000000,0.000000,0.046204,0.025491,19.701795,0.000000,0.046204,0.711156,19.642689,0.000000,0.046204,0.736468,36.904026,-124.510386,11.647201
0.007050,19.583761,0.000000,0.046125,0.480248,0.000000,0.000000,0.046125,0.024442,19.642689,0.000000,0.046125,0.712391,19.583761,0.000000,0.046125,0.732970,36.896570,-124.509531,11.577953
0.007200,19.525010,0.000000,0.046047,0.486672,0.000000,0.000000,0.046047,0.023618,19.583761,0.000000,0.046047,0.713621,19.525010,0.000000,0.046047,0.729816,36.888976,-124.509275,11.517080
0.007350,19.466435,0.000000,0.045968,0.489853,0.000000,0.000000,0.045968,0.023028,19.525010,0.000000,0.045968,0.714855,19.466435,0.000000,0.045968,0.727024,36.881215,-124.509746,11.465877
0.007500,19.408036,0.000000,0.045890,0.490203,0.000000,0.000000,0.045890,0.022677,19.466435,0.000000,0.045890,0.716096,19.408036,0.000000,0.045890,0.724600,36.873266,-124.511036,11.425192
0.007650,19.349811,0.000000,0.045812,0.488164,0.000000,0.000000,0.045812,0.022564,19.408036,0.000000,0.045812,0.717358,19.349811,0.000000,0.045812,0.722532,36.865077,-124.513172,11.395523
0.007800,19.291762,0.000000,0.045733,0.484216,0.000000,0.000000,0.045733,0.022681,19.349811,0.000000,0.045733,0.718637,19.291762,0.000000,0.045733,0.720805,36.856647,-124.516172,11.376878
0.007950,19.233887,0.000000,0.045656,0.478840,0.000000,0.000000,0.045656,0.023015,19.291762,0.000000,0.045656,0.719915,19.233887,0.000000,0.045656,0.719404,36.848023,-124.520046,11.368820
0.008100,19.176185,0.000000,0.045578,0.472476,0.000000,0.000000,0.045578,0.023549,19.233887,0.000000,0.045578,0.721181,19.176185,0.000000,0.045578,0.718299,36.839226,-124.524754,11.370655
0.008250,19.118656,0.000000,0.045500,0.465523,0.000000,0.000000,0.045500,0.024266,19.176185,0.000000,0.045500,0.722423,19.118656,0.000000,0.045500,0.717453,36.830281,-124.530234,11.381414
0.008400,19.061301,0.000000,0.045423,0.458207,0.000000,0.000000,0.045423,0.025143,19.118656,0.000000,0.045423,0.723627,19.061301,0.000000,0.045423,0.716823,36.821222,-124.536400,11.399901
0.008550,19.004117,0.000000,0.045345,0.450497,0.000000,0.000000,0.045345,0.026155,19.061301,0.000000,0.045345,0.724778,19.004117,0.000000,0.045345,0.716366,36.812084,-124.543157,11.424740
0.008700,18.947104,0.000000,0.045268,0.442483,0.000000,0.000000,0.045268,0.027273,19.004117,0.000000,0.045268,0.725860,18.947104,0.000000,0.045268,0.716036,36.802907,-124.550398,11.454413
0.008850,18.890263,0.000000,0.045191,0.434352,0.000000,0.000000,0.045191,0.028463,18.947104,0.000000,0.045191,0.726857,18.890263,0.000000,0.045191,0.715787,36.793733,-124.558010,11.487300
0.009000,18.833592,0.000000,0.045114,0.426335,0.000000,0.000000,0.045114,0.029689,18.890263,0.000000,0.045114,0.727753,18.833592,0.000000,0.045114,0.715574,36.784604,-124.565878,11.521733
0.009150,18.777091,0.000000,0.045037,0.418679,0.000000,0.000000,0.045037,0.030913,18.833592,0.000000,0.045037,0.728533,18.777091,0.000000,0.045037,0.715357,36.775564,-124.573891,11.556040
0.009300,18.720760,0.000000,0.044961,0.411627,0.000000,0.000000,0.044961,0.032094,18.777091,0.000000,0.044961,0.729184,18.720760,0.000000,0.044961,0.715099,36.766653,-124.581946,11.588602
0.009450,18.664598,0.000000,0.044884,0.405405,0.000000,0.000000,0.044884,0.033191,18.720760,0.000000,0.044884,0.729695,18.664598,0.000000,0.044884,0.714769,36.757908,-124.589945,11.617897
0.009600,18.608604,0.000000,0.044808,0.400209,0.000000,0.000000,0.044808,0.034166,18.664598,0.000000,0.044808,0.730058,18.608604,0.000000,0.044808,0.714342,36.749364,-124.597806,11.642554
0.009750,18.552778,0.000000,0.044732,0.396205,0.000000,0.000000,0.044732,0.034983,18.608604,0.000000,0.044732,0.730266,18.552778,0.000000,0.044732,0.713800,36.741048,-124.605460,11.661390
