# t_s,canli_hip_flx_derece,canli_knee_flx_derece,canli_ankle_flx_derece,pasif_hip_flx_derece,pasif_knee_flx_derece,pasif_ankle_flx_derece
0.000150,37.200327,-123.701329,13.976773,37.200327,-123.701329,13.976773
0.000300,37.201277,-123.705316,13.908206,37.201277,-123.705316,13.908206
0.000450,37.202767,-123.711965,13.797547,37.202767,-123.711965,13.797547
0.000600,37.204660,-123.721283,13.649949,37.204660,-123.721283,13.649949
0.000750,37.206785,-123.733278,13.472115,37.206785,-123.733278,13.472115
0.000900,37.208942,-123.747957,13.271867,37.208942,-123.747957,13.271867
0.001050,37.210919,-123.765311,13.057555,37.210919,-123.765311,13.057555
0.001200,37.212514,-123.785304,12.837436,37.212514,-123.785304,12.837436
0.001350,37.213538,-123.807856,12.619194,37.213538,-123.807856,12.619194
0.001500,37.213829,-123.832842,12.409615,37.213829,-123.832842,12.409615
0.001650,37.213257,-123.860086,12.214400,37.213257,-123.860086,12.214400
0.001800,37.211722,-123.889371,12.038074,37.211722,-123.889371,12.038074
0.001950,37.209158,-123.920438,11.883986,37.209158,-123.920438,11.883986
0.002100,37.205530,-123.952998,11.754363,37.205530,-123.952998,11.754363
0.002250,37.200831,-123.986737,11.650405,37.200831,-123.986737,11.650405
0.002400,37.195078,-124.021331,11.572408,37.195078,-124.021331,11.572408
0.002550,37.188313,-124.056450,11.519889,37.188313,-124.056450,11.519889
0.002700,37.180592,-124.091768,11.491712,37.180592,-124.091768,11.491712
0.002850,37.171988,-124.126967,11.486207,37.171988,-124.126967,11.486207
0.003000,37.162585,-124.161746,11.501281,37.162585,-124.161746,11.501281
0.003150,37.152476,-124.195822,11.534509,37.152476,-124.195822,11.534509
0.003300,37.141762,-124.228935,11.583230,37.141762,-124.228935,11.583230
0.003450,37.130547,-124.260851,11.644615,37.130547,-124.260851,11.644615
0.003600,37.118936,-124.291362,11.715735,37.118936,-124.291362,11.715735
0.003750,37.107037,-124.320285,11.793573,37.107037,-124.320285,11.793573
0.003900,37.094956,-124.347458,11.875056,37.094956,-124.347458,11.875056
0.004050,37.082797,-124.372748,11.957122,37.082797,-124.372748,11.957122
0.004200,37.070658,-124.396044,12.036786,37.070658,-124.396044,12.036786
0.004350,37.058633,-124.417262,12.111214,37.058633,-124.417262,12.111214
0.004500,37.046804,-124.436345,12.177795,37.046804,-124.436345,12.177795
0.004650,37.035245,-124.453262,12.234215,37.035245,-124.453262,12.234215
0.004800,37.024018,-124.468011,12.278529,37.024018,-124.468011,12.278529
0.004950,37.013170,-124.480618,12.309223,37.013170,-124.480618,12.309223
0.005100,37.002736,-124.491140,12.325260,37.002736,-124.491140,12.325260
0.005250,36.992734,-124.499663,12.326114,36.992734,-124.499663,12.326114
0.005400,36.983168,-124.506299,12.311785,36.983168,-124.506299,12.311785
0.005550,36.974028,-124.511192,12.282789,36.974028,-124.511192,12.282789
0.005700,36.965290,-124.514509,12.240143,36.965290,-124.514509,12.240143
0.005850,36.956918,-124.516440,12.185316,36.956918,-124.516440,12.185316
0.006000,36.948866,-124.517198,12.120178,36.948866,-124.517198,12.120178
0.006150,36.941079,-124.517011,12.046927,36.941079,-124.517011,12.046927
0.006300,36.933495,-124.516118,11.968002,36.933495,-124.516118,11.968002
0.006450,36.926058,-124.514767,11.885982,36.926058,-124.514767,11.885982
0.006600,36.918713,-124.513210,11.803481,36.918713,-124.513210,11.803481
0.006750,36.911390,-124.511677,11.723085,36.911390,-124.511677,11.723085
0.006900,36.904026,-124.510386,11.647201,36.904026,-124.510386,11.647201
0.007050,36.896570,-124.509531,11.577953,36.896570,-124.509531,11.577953
0.007200,36.888976,-124.509275,11.517080,36.888976,-124.509275,11.517080
0.007350,36.881215,-124.509746,11.465877,36.881215,-124.509746,11.465877
0.007500,36.873266,-124.511036,11.425192,36.873266,-124.511036,11.425192
0.007650,36.865077,-124.513172,11.395523,36.865077,-124.513172,11.395523
0.007800,36.856647,-124.516172,11.376878,36.856647,-124.516172,11.376878
0.007950,36.848023,-124.520046,11.368820,36.848023,-124.520046,11.368820
0.008100,36.839226,-124.524754,11.370655,36.839226,-124.524754,11.370655
0.008250,36.830281,-124.530234,11.381414,36.830281,-124.530234,11.381414
0.008400,36.821222,-124.536400,11.399901,36.821222,-124.536400,11.399901
0.008550,36.812084,-124.543157,11.424740,36.812084,-124.543157,11.424740
