# kopru_tumbacak_raster.png kaynak verisi: aksiyon potansiyeli zamanlari
t_s,kaynak,ad,grup
0.006050,havuz,IP,kalca_flx
0.014875,havuz,IP,kalca_flx
0.023950,havuz,IP,kalca_flx
0.033350,havuz,IP,kalca_flx
0.042625,havuz,IP,kalca_flx
0.051600,havuz,IP,kalca_flx
0.060900,havuz,IP,kalca_flx
0.070025,havuz,IP,kalca_flx
0.079025,havuz,IP,kalca_flx
0.087925,havuz,IP,kalca_flx
0.097025,havuz,IP,kalca_flx
0.106325,havuz,IP,kalca_flx
0.116325,havuz,IP,kalca_flx
0.129800,havuz,IP,kalca_flx
0.295800,havuz,IP,kalca_flx
0.306750,havuz,IP,kalca_flx
0.316250,havuz,IP,kalca_flx
0.325450,havuz,IP,kalca_flx
0.335050,havuz,IP,kalca_flx
0.344100,havuz,IP,kalca_flx
0.352925,havuz,IP,kalca_flx
0.361825,havuz,IP,kalca_flx
0.370700,havuz,IP,kalca_flx
0.379575,havuz,IP,kalca_flx
0.388600,havuz,IP,kalca_flx
0.397600,havuz,IP,kalca_flx
0.406625,havuz,IP,kalca_flx
0.415625,havuz,IP,kalca_flx
0.424625,havuz,IP,kalca_flx
0.433675,havuz,IP,kalca_flx
0.442675,havuz,IP,kalca_flx
0.451600,havuz,IP,kalca_flx
0.460700,havuz,IP,kalca_flx
0.469725,havuz,IP,kalca_flx
0.478725,havuz,IP,kalca_flx
0.487775,havuz,IP,kalca_flx
0.496975,havuz,IP,kalca_flx
0.506250,havuz,IP,kalca_flx
0.517025,havuz,IP,kalca_flx
0.686725,havuz,IP,kalca_flx
0.696900,havuz,IP,kalca_flx
0.706150,havuz,IP,kalca_flx
0.715475,havuz,IP,kalca_flx
0.724775,havuz,IP,kalca_flx
0.734450,havuz,IP,kalca_flx
0.743275,havuz,IP,kalca_flx
0.751975,havuz,IP,kalca_flx
0.760600,havuz,IP,kalca_flx
0.769575,havuz,IP,kalca_flx
0.778500,havuz,IP,kalca_flx
0.787575,havuz,IP,kalca_flx
0.796525,havuz,IP,kalca_flx
0.805575,havuz,IP,kalca_flx
0.814525,havuz,IP,kalca_flx
0.823625,havuz,IP,kalca_flx
0.832650,havuz,IP,kalca_flx
0.841650,havuz,IP,kalca_flx
0.850650,havuz,IP,kalca_flx
0.859700,havuz,IP,kalca_flx
0.868750,havuz,IP,kalca_flx
0.877775,havuz,IP,kalca_flx
0.886950,havuz,IP,kalca_flx
0.896450,havuz,IP,kalca_flx
0.913050,havuz,IP,kalca_flx
1.073200,havuz,IP,kalca_flx
1.083350,havuz,IP,kalca_flx
1.092675,havuz,IP,kalca_flx
1.101875,havuz,IP,kalca_flx
1.111350,havuz,IP,kalca_flx
1.120225,havuz,IP,kalca_flx
1.129425,havuz,IP,kalca_flx
1.138400,havuz,IP,kalca_flx
1.147175,havuz,IP,kalca_flx
1.156050,havuz,IP,kalca_flx
1.165050,havuz,IP,kalca_flx
1.174025,havuz,IP,kalca_flx
1.183025,havuz,IP,kalca_flx
1.192050,havuz,IP,kalca_flx
1.201075,havuz,IP,kalca_flx
1.210075,havuz,IP,kalca_flx
1.219100,havuz,IP,kalca_flx
1.228150,havuz,IP,kalca_flx
1.237175,havuz,IP,kalca_flx
1.246225,havuz,IP,kalca_flx
1.255225,havuz,IP,kalca_flx
1.264275,havuz,IP,kalca_flx
1.273450,havuz,IP,kalca_flx
1.282950,havuz,IP,kalca_flx
1.299475,havuz,IP,kalca_flx
1.459725,havuz,IP,kalca_flx
1.469875,havuz,IP,kalca_flx
1.479125,havuz,IP,kalca_flx
1.488425,havuz,IP,kalca_flx
1.497725,havuz,IP,kalca_flx
1.506750,havuz,IP,kalca_flx
1.515800,havuz,IP,kalca_flx
1.524925,havuz,IP,kalca_flx
1.533600,havuz,IP,kalca_flx
1.542575,havuz,IP,kalca_flx
1.551475,havuz,IP,kalca_flx
1.560525,havuz,IP,kalca_flx
1.569525,havuz,IP,kalca_flx
1.578575,havuz,IP,kalca_flx
1.587600,havuz,IP,kalca_flx
1.596600,havuz,IP,kalca_flx
1.605650,havuz,IP,kalca_flx
1.614675,havuz,IP,kalca_flx
1.623700,havuz,IP,kalca_flx
1.632675,havuz,IP,kalca_flx
1.641725,havuz,IP,kalca_flx
1.650800,havuz,IP,kalca_flx
1.659975,havuz,IP,kalca_flx
1.669475,havuz,IP,kalca_flx
1.686050,havuz,IP,kalca_flx
1.846175,havuz,IP,kalca_flx
1.856400,havuz,IP,kalca_flx
1.865700,havuz,IP,kalca_flx
1.874925,havuz,IP,kalca_flx
1.884325,havuz,IP,kalca_flx
1.893275,havuz,IP,kalca_flx
1.902400,havuz,IP,kalca_flx
1.911475,havuz,IP,kalca_flx
1.920175,havuz,IP,kalca_flx
1.929100,havuz,IP,kalca_flx
1.938050,havuz,IP,kalca_flx
1.947075,havuz,IP,kalca_flx
1.956075,havuz,IP,kalca_flx
1.965100,havuz,IP,kalca_flx
1.974100,havuz,IP,kalca_flx
1.983125,havuz,IP,kalca_flx
1.992175,havuz,IP,kalca_flx
2.001125,havuz,IP,kalca_flx
2.010200,havuz,IP,kalca_flx
2.019250,havuz,IP,kalca_flx
2.028275,havuz,IP,kalca_flx
2.037325,havuz,IP,kalca_flx
2.046500,havuz,IP,kalca_flx
2.056000,havuz,IP,kalca_flx
2.072525,havuz,IP,kalca_flx
2.232775,havuz,IP,kalca_flx
2.242925,havuz,IP,kalca_flx
2.252225,havuz,IP,kalca_flx
2.261450,havuz,IP,kalca_flx
2.270775,havuz,IP,kalca_flx
2.279775,havuz,IP,kalca_flx
